country,country_code,region,incomeID,income,population
Afghanistan,AFG,South Asia,LIC,Low income,24726684
Albania,ALB,Europe & Central Asia,UMC,Upper middle income,3026939
Algeria,DZA,Middle East & North Africa,LMC,Lower middle income,32692163
American Samoa,ASM,East Asia & Pacific,UMC,Upper middle income,59681
Andorra,AND,Europe & Central Asia,HIC,High income,76244
Angola,AGO,Sub-Saharan Africa ,LMC,Lower middle income,18758145
Antigua and Barbuda,ATG,Latin America & Caribbean ,HIC,High income,80336
Argentina,ARG,Latin America & Caribbean ,UMC,Upper middle income,38491972
Armenia,ARM,Europe & Central Asia,UMC,Upper middle income,3000720
Aruba,ABW,Latin America & Caribbean ,HIC,High income,98737
Australia,AUS,East Asia & Pacific,HIC,High income,20127400
Austria,AUT,Europe & Central Asia,HIC,High income,8171966
Azerbaijan,AZE,Europe & Central Asia,UMC,Upper middle income,8306500
"Bahamas, The",BHS,Latin America & Caribbean ,HIC,High income,318894
Bahrain,BHR,Middle East & North Africa,HIC,High income,829844
Bangladesh,BGD,South Asia,LMC,Lower middle income,136986432
Barbados,BRB,Latin America & Caribbean ,HIC,High income,275284
Belarus,BLR,Europe & Central Asia,UMC,Upper middle income,9730146
Belgium,BEL,Europe & Central Asia,HIC,High income,10421137
Belize,BLZ,Latin America & Caribbean ,UMC,Upper middle income,276504
Benin,BEN,Sub-Saharan Africa ,LMC,Lower middle income,7750004
Bermuda,BMU,North America,HIC,High income,63740
Bhutan,BTN,South Asia,LMC,Lower middle income,638815
Bolivia,BOL,Latin America & Caribbean ,LMC,Lower middle income,9069039
Bosnia and Herzegovina,BIH,Europe & Central Asia,UMC,Upper middle income,3764194
Botswana,BWA,Sub-Saharan Africa ,UMC,Upper middle income,1765527
Brazil,BRA,Latin America & Caribbean ,UMC,Upper middle income,184006481
British Virgin Islands,VGB,Latin America & Caribbean ,HIC,High income,22334
Brunei Darussalam,BRN,East Asia & Pacific,HIC,High income,359433
Bulgaria,BGR,Europe & Central Asia,UMC,Upper middle income,7716860
Burkina Faso,BFA,Sub-Saharan Africa ,LIC,Low income,13030569
Burundi,BDI,Sub-Saharan Africa ,LIC,Low income,7131693
Cabo Verde,CPV,Sub-Saharan Africa ,LMC,Lower middle income,456617
Cambodia,KHM,East Asia & Pacific,LMC,Lower middle income,13066469
Cameroon,CMR,Sub-Saharan Africa ,LMC,Lower middle income,17259322
Canada,CAN,North America,HIC,High income,31940655
Cayman Islands,CYM,Latin America & Caribbean ,HIC,High income,47902
Central African Republic,CAF,Sub-Saharan Africa ,LIC,Low income,3959875
Chad,TCD,Sub-Saharan Africa ,LIC,Low income,9734767
Channel Islands,CHI,Europe & Central Asia,HIC,High income,150716
Chile,CHL,Latin America & Caribbean ,HIC,High income,16014971
China,CHN,East Asia & Pacific,UMC,Upper middle income,1296075000
Colombia,COL,Latin America & Caribbean ,UMC,Upper middle income,42075953
Comoros,COM,Sub-Saharan Africa ,LMC,Lower middle income,597228
"Congo, Dem. Rep.",COD,Sub-Saharan Africa ,LIC,Low income,53068880
"Congo, Rep.",COG,Sub-Saharan Africa ,LMC,Lower middle income,3510468
Costa Rica,CRI,Latin America & Caribbean ,UMC,Upper middle income,4225155
Cote d'Ivoire,CIV,Sub-Saharan Africa ,LMC,Lower middle income,17970494
Croatia,HRV,Europe & Central Asia,HIC,High income,4304600
Cuba,CUB,Latin America & Caribbean ,UMC,Upper middle income,11250365
Curacao,CUW,Latin America & Caribbean ,HIC,High income,134192
Cyprus,CYP,Europe & Central Asia,HIC,High income,1010408
Czech Republic,CZE,Europe & Central Asia,HIC,High income,10197101
